"Id","ApexClassId","ApexClass.Name","Status","ExtendedStatus","JobType","CreatedDate","CompletedDate","JobItemsProcessed","NumberOfErrors","TotalJobItems"
"7078G00001pBPitQAG","01p8G00000M5pZbQAJ","BatchAuditTMScheduler","Queued","","ScheduledApex","2024-01-19T19:12:30.000Z","","0","0","0"
"7078G00001pBQ1PQAW","01p8G00000M5pcGQAR","TM_BatchableDeleteScheduler","Queued","","ScheduledApex","2024-01-19T19:12:21.000Z","","0","0","0"
"7078G00001pBQ1QQAW","01p8G00000M5pcGQAR","TM_BatchableDeleteScheduler","Queued","","ScheduledApex","2024-01-19T19:12:21.000Z","","0","0","0"
"7078G00001pBQ1OQAW","01p8G00000M5pcGQAR","TM_BatchableDeleteScheduler","Queued","","ScheduledApex","2024-01-19T19:12:21.000Z","","0","0","0"
"7078G00001pBQ1RQAW","01p8G00000M5pcGQAR","TM_BatchableDeleteScheduler","Queued","","ScheduledApex","2024-01-19T19:12:21.000Z","","0","0","0"
"7078G00001pBQ0jQAG","01p5e00000avguHAAQ","TM_BatchableGetUpdatedDeletedSchedulable","Queued","Scheduler: failed to execute scheduled job: jobId: 7078G00001pBQ0j, class: common.apex.async.AsyncApexJobObject, reason: Database.executeBatch: batch apex job enqueue failed.","ScheduledApex","2024-01-19T19:11:56.000Z","","0","0","0"
"7078G00001pBQ0hQAG","01p5e00000avguHAAQ","TM_BatchableGetUpdatedDeletedSchedulable","Queued","","ScheduledApex","2024-01-19T19:11:56.000Z","","0","0","0"
"7078G00001pBQ0gQAG","01p5e00000avguHAAQ","TM_BatchableGetUpdatedDeletedSchedulable","Queued","","ScheduledApex","2024-01-19T19:11:56.000Z","","0","0","0"
"7078G00001pBQ0iQAG","01p5e00000avguHAAQ","TM_BatchableGetUpdatedDeletedSchedulable","Queued","","ScheduledApex","2024-01-19T19:11:56.000Z","","0","0","0"
"7078G00001pBQ0kQAG","01p8G00000M5paTQAR","PartnerSharingUpdBatchScheduler","Queued","","ScheduledApex","2024-01-19T19:11:42.000Z","","0","0","0"
"7078G00001pBQ0lQAG","01p8G00000M5paTQAR","PartnerSharingUpdBatchScheduler","Queued","","ScheduledApex","2024-01-19T19:11:42.000Z","","0","0","0"
"7078G00001pBPphQAG","01p8G00000M5pa2QAB","LeadDailyDigest24Hours","Queued","","ScheduledApex","2024-01-19T19:04:00.000Z","","0","0","0"
"7078G00001pBPmlQAG","01p8G00000M5pZWQAZ","BatchAccountMergeScheduler","Queued","","ScheduledApex","2024-01-19T19:02:49.000Z","","0","0","0"
